ID	PATTERN	PROFESSIONAL	CONSUMER	PROPENSITY_FACTOR
16352	also called	Diaphragmatic rupture	tear	3
5606	also known as	BMG	Geographic tongue	3
19114	also known as	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1	3
22389	also known as	Ure2	YNL229C	3
24940	previously known as	Flavobacterium psychrophilum	Cytophaga psychrophila	3
5034	sometimes called	arterial hypertension	high blood pressure	3
7660	also called	Balkan endemic nephropathy	Danubian endemic familial nephropathy	3
15015	also known as	Obesity hypoventilation syndrome	Pickwickian syndrome	3
7066	also called	cricothyrotomy	thyrocricotomy	3
7068	also called	cricothyrotomy	inferior laryngotomy	3
7069	also called	cricothyrotomy	intercricothyrotomy	3
7070	also called	cricothyrotomy	coniotomy	3
7071	also called	cricothyrotomy	emergency airway puncture	3
13938	also known as	mutational falsetto	Puberphonia	3
5934	also known as	rhinopharyngitis	common cold	3
16980	also known as	Foster Kennedy syndrome	Kennedys syndrome	3
28201	also known as	Idiopathic Basal Ganglia Calcification	Fahrs Syndrome	3
24647	also known as	IgG4-related disease	IgG4–related systemic disease	3
9119	also known as	LEOPARD syndrome	Cardiocutaneous syndrome	3
3736	also known as	kinetosis	travel sickness	3
9120	also known as	LEOPARD syndrome	Gorlin syndrome II	3
9121	also known as	LEOPARD syndrome	Lentiginosis profusa syndrome	3
9122	also known as	LEOPARD syndrome	Progressive cardiomyopathic lentiginosis	3
17047	also known as	contraception	Birth control	3
20093	commonly called	Bignoniaceae	midnight horror	3
20094	commonly called	Bignoniaceae	oroxylum	3
20095	commonly called	Bignoniaceae	kampong	3
20096	commonly called	Bignoniaceae	Indian trumpet flower	3
25913	sometimes referred to as	emergence agitation	Emergence delirium	3
24973	also known as	Edwardsiella ictaluri	Enteric Septicaemia of Catfish	3
24974	also known as	Edwardsiella ictaluri	Hole in the Head Disease	3
24240	also referred to as	marriage and family therapy	Family therapy	3
23648	also called	vascular technology	Vein matching	3
25371	also known as	Primary ciliary dyskinesia	immotile ciliary syndrome	3
5794	also known as	Pyomyositis	myositis tropicans	3
1679	also known as	hemolytic disease of the fetus and newborn	Hemolytic disease of the newborn	3
8511	also known as	somatotropin	Growth hormone	3
1910	also known as	indirect Coombs test	IAT	3
13677	also known as	Onchocerciasis	Robles disease	3
5149	also called	axonal transport	Axoplasmic transport	3
14685	also called	Hippobroma longiflora	Star of Bethlehem	3
17301	also known as	Salvia divinorum	Diviners Sage	3
18915	also known as	autoimmune polyendocrine syndrome	Schmidts syndrome	3
17303	also known as	Salvia divinorum	Medana et al. 2005	3
112	commonly called	Peganum harmala	Esfand	3
114	commonly called	Peganum harmala	Syrian rue	3
115	commonly called	Peganum harmala	African rue	3
11598	commonly known as	Hebeloma crustuliniforme	fairy cakes	3
7120	also known as	macrocystic lymphatic malformation	cystic hygroma	3
9653	also known as	cardialgia	Heartburn	3
15436	also known as	Female genital mutilation	female circumcision	3
8333	also known as	Double-balloon enteroscopy	push-and-pull enteroscopy	3
15994	also known as	THC-COOH	11-nor-9-Carboxy-THC	3
1681	also known as	HDFN	Hemolytic disease of the newborn	3
6403	also known as	FMPP	familial sexual precocity	3
6404	also known as	FMPP	gonadotropin-independent testotoxicosis	3
23880	commonly known as	Plumbago zeylanica	Ceylon Leadwort	3
23881	commonly known as	Plumbago zeylanica	Doctorbush	3
5181	also called	CD142	Tissue factor	3
10857	also known as	normothermia	Normal human body temperature	3
2102	also called	Swine influenza	hog flu	3
20651	also known as	hydropic degeneration	VAC	3
11482	also called	endocardial pacing	Transvenous cardiac pacing	3
28310	also known as	esophageal voice	Esophageal speech	3
26238	commonly called	Coriaria arborea	tutu	3
8065	also called	thermotherapy	Heat therapy	3
9336	also known as	Drooling	slobbering	3
2166	also called	nephropathic cystinosis	Abderhalden–Kaufmann–Lignac syndrome	3
1736	also known as	infantile colic	Baby colic	3
12980	also known as	GAB2	GRB2-associated-binding protein 2	3
28408	also termed	Fordyce disease	Fordyce spots	3
10215	also known as	Clouding of consciousness	mental fog	3
26069	also called	Demodicosis	red mange	3
28427	also termed	BMS	sore mouth	3
17885	also known as	Summation	frequency summation	3
17189	sometimes known as	equines	graveling	3
17889	also called	protoplast fusion	Somatic fusion	3
3223	also known as	Macrosomia	big baby syndrome	3
3480	also known as	hand-arm vibration syndrome	Vibration white finger	3
28444	also termed	gingival hypertrophy	Gingival enlargement	3
1446	also called	Papanicolaou test	smear test	3
14151	also called	Fundus photography	fundography	3
23951	also called as	Resistance index	arterial resistivity index	3
7296	also called	Hyperimmunoglobulin E syndrome	Buckley syndrome	3
9420	also called	X-linked hypophosphatemia	X-linked vitamin d-resistant rickets	3
9421	also called	X-linked hypophosphatemia	hypophosphatemic vitamin d-resistant rickets	3
14548	also known as	Ohtahara syndrome	Early Infantile Epileptic Encephalopathy with Burst-Suppression	3
11280	also known as	Periorbital puffiness	swelling around the eyes	3
18269	also known as	lipoplasty	Liposuction	3
8180	also known as	Autonomic dysreflexia	autonomic hyperreflexia	3
9096	also known as	Salvia miltiorrhiza	tan shen	3
10864	also known as	electrolyzed oxidizing water	ECA	3
2386	also known as	Biomagnification	biological magnification	3
4143	also known as	Clinical chemistry	chemical pathology	3
14	commonly called	Actaea	baneberry	3
4890	commonly called	Arctium lappa	greater burdock	3
15	commonly called	Actaea	bugbane	3
4891	commonly called	Arctium lappa	gobō	3
4894	commonly called	Arctium lappa	beggars buttons	3
27153	also known as	IgAN	IgA  nephropathy	3
15404	also called	Ethanol	grain alcohol	3
16485	also known as	syndromic	Tricho-hepato-enteric syndrome (THE)	3
26372	also called	anal drainage	Rectal discharge	3
15143	also known as	Journal of Bone and Joint Surgery	Journal of Bone and Joint Surgery, American Volume	3
3597	also known as	Ocimum tenuiflorum	Holy basil	3
4160	also known as	Seasonal affective disorder	winter blues	3
4351	also called	cataplasm	poultice	3
16218	also called	Cell-free protein synthesis	in-vitro protein synthesis	3
11580	also known as	Meckel syndrome	Meckel–Gruber Syndrome	3
11582	also known as	Meckel syndrome	Dysencephalia Splanchnocystica	3
10805	commonly known as	Eclipta prostrata	false daisy	3
10806	commonly known as	Eclipta prostrata	yerba de tago	3
10807	commonly known as	Eclipta prostrata	bhringraj	3
28464	also termed	leukokeratosis	Leukoplakia	3
833	also known as	congenital erythropoietic porphyria	Gunther disease	3
28453	also termed	Vertebral osteomyelitis	disk-space infection	3
28416	also termed	FSS	Freeman–Sheldon syndrome	3
28441	also termed	gingival overgrowth	Gingival enlargement	3
15372	also known as	speechreading	Lip reading	3
21355	also called	drawing attention	Attention seeking	3
590	also known as	Fasciolosis	liver rot	3
10326	also known as	Dental caries	tooth decay	3
7075	also called	laryngofissure	Thyrotomy	3
20695	also known as	BKD	white boil disease	3
138	also known as	myocyte disarray	Myocardial disarray	3
7510	also known as	beta-site APP cleaving enzyme 1	Beta-secretase 1	3
10858	also known as	euthermia	Normal human body temperature	3
9277	also known as	autoinflammatory syndromes	periodic fever syndromes	3
2352	also known as	X-ALD	Adrenoleukodystrophy	3
9430	also called	gingival graft	gum graft	3
28328	also known as	oral candidosis	Oral candidiasis	3
2762	also called	Stress hyperglycemia	stress diabetes	3
6954	also known as	Gorhams disease	Gorham vanishing bone disease	3
5476	also known as	butylhydroxytoluene	Butylated hydroxytoluene (BHT)	3
8100	also known as	advance decision	advance health care directive	3
14987	also called	oxirane	Ethylene oxide	3
15346	also known as	TGN	Trigeminal neuralgia	3
2456	also known as	Trigger points	muscle knots	3
26870	previously called	Acute kidney injury	acute renal failure	3
524	also known as	contractions	practice contractions	3
5470	also called	trichinellosis	Trichinosis	3
1814	also known as	NMDA receptor antagonist	Olneys lesions	3
4459	also known as	Nagana	nagana pest	3
11535	also known as	Muenke syndrome	FGFR3-related craniosynostosis	3
11359	also known as	AEC syndrome	Hay–Wells syndrome	3
2858	commonly called	Substance dependence	drug addiction	3
27867	also known as	minimal clinically important difference	MCID	3
2635	also called	Desquamation	skin peeling	3
23522	also known as	cortical laminar necrosis	Cortical pseudolaminar necrosis	3
22956	also known as	Propionic acidemia	ketotic glycinemia	3
28277	also known as	Deoxycholic acid	3α,12α-dihydroxy-5β-cholanate	3
19841	also known as	Rhesus disease	Rh disease	3
26727	also known as	intimate partner violence	domestic violence	3
15405	also called	Ethanol	drinking alcohol	3
19130	also known as	amyotrophic lateral sclerosis	Lou Gehrig	3
26984	also called	knockdown resistance	kdr	3
20456	also called	Denial of pregnancy	pregnancy denial	3
17496	also called	field surgery	Battlefield medicine	3
19507	also called	Head Physician	Chief Physician	3
26997	also known as	Personal Health Information Protection Act	PHIPA	3
1676	also known as	sudoriferous	Sweat glands	3
5518	also known as	intravaginal rings	Vaginal rings	3
14820	also known as	chronic recurring multifocal osteomyelitis	Chronic recurrent multifocal osteomyelitis (CRMO)	3
22806	also known as	clinical portal	clinical trial portal	3
18282	also known as	Artificial nails	false nails	3
4069	also known as	Spinocerebellar ataxia type 3	Machado–Joseph disease	3
18638	also known as	gastric-cardia	Roemheld syndrome	3
658	sometimes called	Chromotherapy	color therapy	3
17538	also known as	Influenza-like illness	ILI	3
25076	commonly known as	Colchicum autumnale	naked lady	3
9654	also known as	Heartburn	acid indigestion	3
24797	also known as	Anadenanthera peregrina	Nopo	3
2959	also known as	Anadenanthera colubrina	Angico	3
9805	commonly called	Manzanillo	family	3
8463	also known as	dyschezia	Constipation	3
23473	commonly known as	Serenoa repens	saw palmetto	3
22903	also known as	Neck creaking	cracking neck	3
1197	also known as	Doctor Druid	Druid	3
250	also called	Hemispatial neglect	hemiagnosia	3
9179	also called	Familial amyloid polyneuropathy	transthyretin amyloidosis	3
9180	also called	Familial amyloid polyneuropathy	Corino de Andrades disease	3
2949	also known as	Virola	Epená	3
25962	also known as	reverse pharmacology	target base drug discovery	3
6667	also known as	ophthalmia neonatorum	Neonatal conjunctivitis	3
10409	also known as	progressive hemifacial atrophy	Parry–Romberg syndrome	3
15371	also known as	lipreading	Lip reading	3
27734	also known as	Dobrava virus	(DOBV)	3
588	also known as	Fasciolosis	Fasciolasis	3
2950	also known as	Virola	Patricá	3
2951	also known as	Virola	Cumala	3
7496	also known as	urogenital atrophy	Atrophic vaginitis	3
16597	also referred to as	behavioural addiction	soft addiction	3
16598	also referred to as	behavioural addiction	process addiction	3
24948	also known as	oncolytic virus	Pexa-Vec	3
11373	also known as	Arginine vasopressin	antidiuretic hormone	3
28455	also termed	denture stomatitis	Denture-related stomatitis	3
18404	also called	ductus deferens	vas deferens	3
9819	also known as	Recurrent airway obstruction	broken wind	3
7119	also known as	cystic lymphangioma	cystic hygroma	3
967	also known as	dilutional hyponatremia	Water intoxication	3
10464	also called	Pylephlebitis	infective suppurative thrombosis of the portal vein	3
9846	also called	life table methods	Decrement tables	3
4435	also called	Salla disease	Finnish type sialuria	3
6534	also known as	Lobomycosis	(Jorge) Lobos disease	3
5200	also known as	Chenodeoxycholic acid	chenocholic acid	3
4939	commonly called	Amaranthus hybridus	smooth amaranth	3
4940	commonly called	Amaranthus hybridus	smooth pigweed	3
4942	commonly called	Amaranthus hybridus	slim amaranth	3
16413	commonly known as	Trachyspermum ammi	ajowan or ajwain	3
12566	commonly known as	blue-foot	Psilocybe caerulipes	3
17854	commonly known as	Pisa syndrome	Pleurothotonus	3
16414	commonly known as	Trachyspermum ammi	bishops weed	3
16415	commonly known as	Trachyspermum ammi	ajowan caraway	3
16417	commonly known as	Trachyspermum ammi	thymol seeds	3
16418	commonly known as	Trachyspermum ammi	vaamu	3
5583	sometimes called	Peroxynitrite	peroxonitrite	3
11374	also known as	Arginine vasopressin	AVP	2
9399	also called	dysbacteriosis	Dysbiosis	2
13337	also known as	Toxocara canis	dog	2
14730	also known as	toxicity testing	Toxicology testing	2
5178	also called	Tissue factor	platelet tissue factor	2
92	also known as	tinea pedis	Athletes foot	2
708	also called	pes planus	Flat feet	2
977	also known as	mucin 16	CA-125	2
5782	also known as	root end surgery	apicoectomy	2
7491	also called	Caulophyllum	squaw root	2
7492	also called	Caulophyllum	papoose root	2
8308	also called	ATR-X syndrome	Alpha-thalassemia mental retardation syndrome	2
352	also known as	Hereditary multiple exostoses	Diaphyseal aclasis	2
10860	also known as	portacaval anastomosis	portal systemic anastomosis	2
9599	also known as	atrioventricular discordance	Ventricular inversion	2
713	also known as	Thromboangiitis obliterans	Presenile gangrene	2
10861	also known as	portacaval anastomosis	portal caval system	2
6187	also known as	Medical students disease	medical student syndrome	2
14734	also known as	cGTP	Current Good Tissue Practice	2
16777	also referred to as	neuroengineering	neurobioengineering	2
10963	colloquially referred to as	central seven	Central facial palsy	2
10613	previously known as	Institute of Tropical Medicine	Prince Leopold Institute of Tropical Medicine	2
1443	also called	Papanicolaou test	Pap smear	2
19840	also known as	Rhesus incompatibility	Rh disease	2
4004	also known as	hypercytokinemia	cytokine storm	2
25363	also called	Spinal anaesthesia	spinal anesthesia	2
9094	also known as	Salvia miltiorrhiza	red sage	2
13352	also known as	pericardial tamponade	Cardiac tamponade	2
24975	also known as	Edwardsiella ictaluri	ESC	2
882	commonly known as	Nitrous oxide	laughing gas	2
1703	sometimes called	Ocular dominance	eye dominance	2
1282	also known as	CBV	Cannabivarin	2
13200	also called	Weaver syndrome	Weaver-Smith syndrome	2
2763	also called	Stress hyperglycemia	diabetes of injury	2
4850	also known as	Huangdi Neijing	The Inner Canon of Huangdi	2
9087	also known as	Codonopsis pilosula	dang shen	2
9604	also known as	Esmarch bandage	Esmarchs bandage for surgical haemostasis	2
15796	also known as	divisive inhibition	Shunting Inhibition	2
9088	also known as	Codonopsis pilosula	poor mans ginseng	2
9605	also known as	Esmarch bandage	Esmarchs tourniquet	2
13825	also known as	electronic aids	Electronic fluency devices	2
27836	also referred to as	skeletal open bite	Long face syndrome	2
15226	commonly known as	Nepeta cataria	catswort	2
25614	also known as	Polycyclic aromatic hydrocarbons	polynuclear aromatic hydrocarbons	2
11099	colloquially known as	asystole	flatline	2
2279	also called	Acute stress reaction	psychological shock	2
14321	also known as	plumbism	Lead poisoning	2
10845	also called	BIRC5	Survivin	2
17247	commonly known as	Bovine spongiform encephalopathy	mad cow disease	2
261	also known as	ICF	International Classification of Functioning, Disability and Health	2
5216	also known as	immunostimulators	Immunostimulants	2
6268	also known as	ubidecarenone	Coenzyme Q10	2
28329	also known as	Oral candidiasis	oral thrush	2
6892	also called	Gradenigos syndrome	petrous apicitis	2
6891	also called	Gradenigos syndrome	Gradenigo-Lannois syndrome	2
16861	also called	(PKC)	(PKD)	2
5249	also called	BBzP	Benzylbutylphthalate	2
7301	also called	Cheney syndrome	Hajdu–Cheney syndrome	2
5767	also known as	Farber disease	Farbers lipogranulomatosis	2
6454	also known as	Oxybuprocaine	benoxinate	2
12993	also known as	Erodium cicutarium	Redstem filaree	2
13001	also known as	Resusci Anne	Rescue Anne	2
14623	also known as	Muellerius capillaris	hair lungworm	2
18439	also known as	Morinda officinalis	Indian Mulberry	2
25644	also known as	DSLD	Equine Systemic Proteoglycan Accumulation	2
26296	also known as	Leydig cell hypoplasia	Leydig cell agenesis	2
15733	also known as	Psilocybin mushrooms	psychedelic mushrooms	2
2601	also known as	Asian flush syndrome	Alcohol flush reaction	2
3015	also known as	ventriculocordectomy	Devocalization	2
19503	also known as	enlarged vestibular aqueduct syndrome	Large vestibular aqueduct	2
24881	also known as	BAdV	Bovine Adenovirus	2
12994	also known as	Erodium cicutarium	Common Storks-bill	2
12995	also known as	Erodium cicutarium	Pinweed	2
13002	also known as	Resusci Anne	Resusci Annie	2
13003	also known as	Resusci Anne	CPR Annie	2
19860	also known as	Prunus laurocerasus	common laurel	2
2603	also known as	Asian glow	Alcohol flush reaction	2
7567	commonly known as	Narcissus pseudonarcissus	wild daffodil	2
7568	commonly known as	Narcissus pseudonarcissus	Lent lily	2
17881	previously referred to as	Procedural sedation and analgesia	conscious sedation	2
7131	sometimes called	Rhododendron ferrugineum	alpenrose	2
7132	sometimes called	Rhododendron ferrugineum	snow-rose	2
7133	sometimes called	Rhododendron ferrugineum	rusty-leaved alpenrose	2
11833	also known as	Childhood Arthritis	Juvenile arthritis	2
21246	also known as	Solanum dulcamara	bittersweet	2
13756	also known as	Cacchi–Ricci disease	Medullary Sponge Kidney	2
13338	also known as	Toxocara canis	roundworm	2
28460	also termed	apical periodontitis	Periapical periodontitis	2
26647	also known as	CDD	Craniodiaphyseal dysplasia	2
5101	also known as	Visceral leishmaniasis	black fever	2
5102	also known as	Visceral leishmaniasis	Dumdum fever	2
6210	also called	phlycten	phlyctenule	2
5326	also known as	GHRH	Growth-hormone-releasing hormone	2
4893	commonly called	Arctium lappa	lappa	2
19542	commonly known as	influenza	swine flu	2
1659	also known as	hyperkinesis	Hyperkinesia	2
20853	also known as	Somatostatin	growth hormone-inhibiting hormone	2
8534	also known as	Prunus dulcis	bitter almond	2
11708	also known as	mineral nutrients	Dietary minerals	2
3211	also known as	C2	Occipital neuralgia	2
4407	also referred to as	exodontia	dental extraction	2
2426	also called	anamnesis	case history	2
1704	sometimes called	Ocular dominance	eyedness	2
5028	commonly referred to as	tobacco plants	species	2
6544	also called	Carbogen	Medunas Mixture	2
12950	also called	Feingold syndrome	oculodigitoesophagoduodenal syndrome	2
18162	also called	Deoxypyridinoline	D-Pyrilinks	2
7977	also called	urofacial syndrome	Ochoa  syndrome	2
18163	also called	Deoxypyridinoline	Pyrilinks-D	2
18164	also called	Deoxypyridinoline	deoxyPYD	2
328	also called	aerospace medicine	Aviation medicine	2
5529	also known as	Diogenes syndrome	senile squalor syndrome	2
22579	also known as	Bolivian hemorrhagic fever	black typhus	2
25735	also known as	Floating-Harbor syndrome	Pelletier-Leisti syndrome	2
4092	also known as	Acacia farnesiana	Vachellia farnesiana	2
12520	also known as	ethylene dibromide	1,2-Dibromoethane	2
7964	also known as	2,3-BPG	2,3-DPG	2
15808	also known as	Heartwater	nintas and ehrlichiosis	2
22580	also known as	Bolivian hemorrhagic fever	Ordog Fever	2
18134	also known as	HDCA	Hyodeoxycholic acid	2
19519	also known as	Primary intestinal lymphangiectasia	Waldmann disease	2
3570	commonly known as	Solanum americanum	American nightshade	2
876	commonly known as	Toyon	Heteromeles arbutifolia	2
3571	commonly known as	Solanum americanum	Glossy nightshade	2
17945	sometimes known as	Dopamine dysregulation syndrome	hedonistic homeostatic dysregulation in Parkinsons disease	2
4910	also known as	Streptococcus agalactiae	GBS	2
11026	also called	sumithrin	Phenothrin	2
7219	also known as	cell salvage	Intraoperative blood salvage	2
7549	also known as	premature ovarian insufficiency	Premature Ovarian Failure	2
4097	also known as	Hybrid Assistive Limb	HAL	2
14831	also known as	Ischemic hepatitis	shock liver	2
5180	also called	Tissue factor	thromboplastin	2
13979	also known as	golden hour	golden time	2
5751	also known as	HIV-associated dementia	AIDS dementia complex	2
1444	also called	Papanicolaou test	Pap test	2
7473	also known as	Corneal topography	photokeratoscopy	2
1049	also known as	Periorbital dark circles	dark circles	2
28019	commonly known as	Rofecoxib	Vioxx	2
6267	also known as	ubiquinone	Coenzyme Q10	2
2490	also called	Mulibrey nanism	Perheentupa syndrome	2
12402	also called	Lanice	Hellanike	2
841	also called	hereditary sensory and autonomic neuropathy type IV	Congenital insensitivity to pain with anhidrosis (CIPA)	2
17533	also called	Cypridina luciferin	Vargulin	2
2491	also called	Mulibrey nanism	pericardial constriction with growth failure	2
3404	also called	Polybrominated biphenyls	polybromobiphenyls	2
12403	also called	Lanice	Alacrinis	2
17103	also known as	Secular Organizations For Sobriety	Save Our Selves	2
1588	also known as	Cri du chat syndrome	chromosome 5p deletion syndrome	2
6415	also known as	F-75	Formula 100	2
10139	also known as	Bambusa vulgaris	Golden Bamboo	2
24582	also known as	Lamellar ichthyosis	ichthyosis lammellaris	2
27253	also known as	chargemaster	charge master	2
3061	also known as	jumbo squid	Humboldt squid	2
4761	also known as	HTLV-associated myelopathy	Tropical spastic paraparesis	2
14101	also known as	geropsychiatry	Geriatric psychiatry	2
24646	also known as	hyper-IgG4 disease	IgG4–related systemic disease	2
27727	also known as	Distal hereditary motor neuropathy	Distal spinal muscular atrophy type 2	2
1589	also known as	Cri du chat syndrome	5p minus syndrome	2
1590	also known as	Cri du chat syndrome	Lejeune’s syndrome	2
3415	also known as	Fascioloides magna	deer fluke	2
10140	also known as	Bambusa vulgaris	Buddha’s Belly Bamboo	2
16841	also known as	Drug repositioning	Drug re-profiling	2
16842	also known as	Drug repositioning	Therapeutic Switching	2
16843	also known as	Drug repositioning	Drug re-tasking	2
24583	also known as	Lamellar ichthyosis	nonbullous congenital ichthyosis	2
24587	also known as	Epidermolytic hyperkeratosis	Bullous ichthyosiform erythroderma	2
8072	also known as	trephining	Trepanning	2
17576	also known as	Segawas disease	Dopamine-responsive dystonia	2
10670	commonly known as	Atropa bella-donna	Deadly Nightshade	2
3327	commonly referred to as	Female sexual arousal disorder	Candace syndrome	2
14729	also known as	safety testing	Toxicology testing	2
712	also known as	Thromboangiitis obliterans	Buergers disease	2
3139	also known as	cacosmia	Parosmia	2
3046	also known as	Magnaporthe grisea	rice seedling blight	2
116	commonly called	Peganum harmala	harmal	2
11737	commonly known as	Central Ischaemic Response	fainting	2
25613	also known as	Polycyclic aromatic hydrocarbons	poly-aromatic hydrocarbons	2
28402	also termed	Xerostomia	dry mouth	2
16078	also known as	armamentarium	Medical equipment	2
2128	also known as	Diabetic nephropathy	nodular diabetic glomerulosclerosis	2
2129	also known as	Diabetic nephropathy	intercapillary glomerulonephritis	2
20650	also known as	vacuolar alteration	VAC	2
31	also known as	vegetable oil	Carrier oil	2
837	also called	Menkes disease	steely hair disease	2
839	also called	Menkes disease	Menkes kinky hair syndrome	2
7329	also known as	Cowpers fluid	Pre-ejaculate	2
23194	commonly referred to as	rhabdomyosarcoma	RMS	2
5933	also known as	nasopharyngitis	common cold	2
1815	also known as	neurotoxicity	Olneys lesions	2
9152	also known as	Poxviridae	Neethling virus	2
13664	also known as	Tularemia	rabbit fever	2
22950	also called	methylmalonic aciduria	Methylmalonic acidemia	2
151	also known as	Nontuberculous mycobacteria	atypical mycobacteria	2
64	also known as	Pressure ulcers	decubitus ulcers	2
19556	also known as	packed cell volume	hematocrit	2
17176	also called	Acorus calamus	Calamus	2
22942	also known as	human kinetics	Kinesiology	2
1677	also known as	sudoriparous glands	Sweat glands	2
21629	also called	cyclothymic disorder	Cyclothymia	2
26607	also known as	obstructed defecation syndrome	Obstructed defecation	2
8071	also known as	trephination	Trepanning	2
21846	sometimes referred to as	Paroxysmal nocturnal hemoglobinuria	Marchiafava-Micheli syndrome	2
